HelpPosition	DepVar	HelpClass	HelpInflection	VerbLemma	InterveningWords	ObjPresent	ObjPronoun	ObjLength	ObjHead
35	ING	VERB	VB	be	3	Yes	NP	2	TODO!!!
80	ING	VERB	VB	feel	0	No	NA	NA	NA
141	ING	VERB	VB	feel	0	No	NA	NA	NA
243	ING	VERB	VB	think	0	No	NA	NA	NA
343	NA	VERB	VB		0	NA	NA	NA	NA
445	ING	VERB	VB	feel	0	No	NA	NA	NA
544	TO	VERB	VB	evolve	1	Yes	PRO	1	TODO!!!
647	NA	VERB	VB		0	NA	NA	NA	NA
754	ING	VERB	VB	say	0	No	NA	NA	NA
859	ING	VERB	VB	remark	0	No	NA	NA	NA
961	NA	VERB	VBD		0	NA	NA	NA	NA
1065	ING	VERB	VB	think	0	No	NA	NA	NA
1171	ING	VERB	VB	read	0	No	NA	NA	NA
1274	ING	VERB	VB	notice	0	No	NA	NA	NA
1376	NA	VERB	VB		0	NA	NA	NA	NA
1480	ING	VERB	VB	think	0	No	NA	NA	NA
1581	TO	VERB	VB	reconcile	0	No	NA	NA	NA
1688	ING	VERB	VB	think	0	No	NA	NA	NA
1788	ING	VERB	VB	express	0	No	NA	NA	NA
1890	ING	VERB	VB	think	0	No	NA	NA	NA
1974	NA	NOUN	NN		0	NA	NA	NA	NA
1991	NA	NOUN	NN		0	NA	NA	NA	NA
2092	NA	VERB	VB		0	NA	NA	NA	NA
2204	ING	VERB	VB	feel	0	No	NA	NA	NA
2304	ING	VERB	VB	think	0	No	NA	NA	NA
2407	ING	VERB	VB	observe	0	No	NA	NA	NA
2506	ING	VERB	VB	observe	0	No	NA	NA	NA
2608	NA	VERB	VB		0	NA	NA	NA	NA
2709	ING	VERB	VB	think	0	No	NA	NA	NA
2806	ING	VERB	VB	think	0	No	NA	NA	NA
2910	ING	VERB	VB	think	0	No	NA	NA	NA
3014	ING	VERB	VB	think	0	No	NA	NA	NA
3116	TO	VERB	VBG	maintain	0	No	NA	NA	NA
3213	ING	VERB	VB	think	0	No	NA	NA	NA
3316	ING	VERB	VB	think	0	No	NA	NA	NA
3357	ING	VERB	VB	think	0	No	NA	NA	NA
3419	ING	VERB	VB	think	0	No	NA	NA	NA
3522	ING	VERB	VB	think	0	No	NA	NA	NA
3621	NA	VERB	VB		0	NA	NA	NA	NA
3638	NA	NOUN	NN		0	NA	NA	NA	NA
3723	NA	VERB	VB		0	NA	NA	NA	NA
3831	NA	NOUN	NN		0	NA	NA	NA	NA
3929	ING	VERB	VB	think	0	No	NA	NA	NA
4038	ING	VERB	VB	wonder	0	No	NA	NA	NA
4140	ING	VERB	VB	observe	0	No	NA	NA	NA
4240	ING	VERB	VB	feel	0	No	NA	NA	NA
4339	ING	VERB	VB	observe	0	No	NA	NA	NA
4444	ING	VERB	VB	think	0	No	NA	NA	NA
4545	ING	VERB	VB	think	0	No	NA	NA	NA
4648	ING	VERB	VB	think	0	No	NA	NA	NA
4747	ING	VERB	VB	think	0	No	NA	NA	NA
4847	ING	VERB	VB	think	0	No	NA	NA	NA
4950	NA	VERB	VB		0	NA	NA	NA	NA
5055	NA	NOUN	NN		0	NA	NA	NA	NA
5156	ING	VERB	VB	hop	0	No	NA	NA	NA
5257	NA	NOUN	NN		0	NA	NA	NA	NA
5363	NA	NOUN	NN		0	NA	NA	NA	NA
5466	ING	VERB	VB	say	0	No	NA	NA	NA
5568	NA	NOUN	NN		0	NA	NA	NA	NA
5669	NA	VERB	VBG		0	NA	NA	NA	NA
5767	ING	VERB	VB	think	0	No	NA	NA	NA
5868	NA	VERB	VB		0	NA	NA	NA	NA
5964	ING	VERB	VB	allude	0	No	NA	NA	NA
6066	NA	VERB	VB		0	NA	NA	NA	NA
6170	ING	VERB	VB	think	0	No	NA	NA	NA
6268	ING	VERB	VB	see	0	No	NA	NA	NA
6372	ING	VERB	VB	entertain	0	No	NA	NA	NA
6474	ING	VERB	VB	feel	0	No	NA	NA	NA
6573	NA	VERB	VB		0	NA	NA	NA	NA
6678	NA	NOUN	NN		0	NA	NA	NA	NA
6789	ING	VERB	VB	hop	0	No	NA	NA	NA
6889	NA	NOUN	NN		0	NA	NA	NA	NA
6997	TO	VERB	VBD	concoct	1	Yes	PRO	1	TODO!!!
7098	ING	VERB	VB	think	0	No	NA	NA	NA
7201	NA	NOUN	NN		0	NA	NA	NA	NA
7302	TO	VERB	VBD	make	0	No	NA	NA	NA
7405	ING	VERB	VB	feel	0	No	NA	NA	NA
7507	ING	VERB	VB	think	0	No	NA	NA	NA
7603	ING	VERB	VB	be	0	No	NA	NA	NA
7699	NA	VERB	VB		0	NA	NA	NA	NA
7803	ING	VERB	VB	promote	1	No	NA	NA	NA
7907	ING	VERB	VB	feel	0	No	NA	NA	NA
8009	ING	VERB	VB	feel	0	No	NA	NA	NA
8109	TO	VERB	VB	have	1	Yes	PRO	1	TODO!!!
8213	ING	VERB	VB	believe	0	No	NA	NA	NA
8317	ING	VERB	VB	express	0	No	NA	NA	NA
8423	TO	VERB	VB	weigh	0	No	NA	NA	NA
8531	ING	VERB	VB	think	0	No	NA	NA	NA
8631	ING	VERB	VB	give	0	No	NA	NA	NA
8738	ING	VERB	VB	think	0	No	NA	NA	NA
